1 4 8 12 
100 300 500 1000 
1 8 16 32 64 
0.777124 0.346086 0.348579 0.322078 0.308752 
5.409178 2.648277 2.687088 2.491353 2.421826 
15.332232 7.777306 7.916689 7.181067 6.848969 
59.880531 36.841484 35.985829 29.646095 28.008791 

0.900850 0.215177 0.213733 0.220242 0.271932 
3.557879 1.065156 1.020961 1.029860 1.244837 
7.979814 2.745069 2.627643 2.458950 2.913999 
24.669140 11.747644 10.938884 9.658913 9.666992 

1.086584 0.251752 0.235680 0.307478 0.391034 
3.734351 1.072457 1.015996 1.099604 1.613524 
7.679036 2.339265 2.219550 2.183798 2.666889 
22.852094 9.588966 9.183133 8.999369 10.034039 

1.670523 0.265482 0.271497 0.588476 0.434218 
4.668569 1.114864 1.019524 1.153407 1.930397 
9.256103 2.840818 2.635683 2.820022 3.928997 
33.282748 9.764907 9.254150 9.518975 10.958304 

